Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsHindering Nature	Lv. 100	210 - 304	139 - 224	67 - 152	130 - 215	58 - 143	76 - 161
Max StatsNeutral Nature	Lv. 100	210 - 304	155 - 249	75 - 169	145 - 239	65 - 159	85 - 179
Max StatsBeneficial Nature	Lv. 100	210 - 304	170 - 273	82 - 185	159 - 262	71 - 174	93 - 196
Base Stats - Total: 390	Base Stats - Total: 390	65	90	50	85	45	55
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	94 - 179	157 - 242	85 - 170	103 - 188
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	105 - 199	175 - 269	95 - 189	115 - 209
Max StatsBeneficial Nature	Lv. 100	240 - 334	203 - 306	115 - 218	192 - 295	104 - 207	126 - 229
Base Stats - Total: 490	Base Stats - Total: 490	80	105	65	100	70	70
Max StatsHindering Nature	Lv. 100	270 - 364	193 - 278	121 - 206	184 - 269	130 - 215	130 - 215
Max StatsNeutral Nature	Lv. 100	270 - 364	215 - 309	135 - 229	205 - 299	145 - 239	145 - 239
Max StatsBeneficial Nature	Lv. 100	270 - 364	236 - 339	148 - 251	225 - 328	159 - 262	159 - 262
Base Stats - Total: 335	Base Stats - Total: 335	40	40	35	50	100	70
Max StatsHindering Nature	Lv. 100	190 - 284	76 - 161	67 - 152	94 - 179	184 - 269	130 - 215
Max StatsNeutral Nature	Lv. 100	190 - 284	85 - 179	75 - 169	105 - 199	205 - 299	145 - 239
Max StatsBeneficial Nature	Lv. 100	190 - 284	93 - 196	82 - 185	115 - 218	225 - 328	159 - 262
Base Stats - Total: 515	Base Stats - Total: 515	80	70	65	80	120	100
Max StatsHindering Nature	Lv. 100	270 - 364	130 - 215	121 - 206	148 - 233	220 - 305	184 - 269
Max StatsNeutral Nature	Lv. 100	270 - 364	145 - 239	135 - 229	165 - 259	245 - 339	205 - 299
Max StatsBeneficial Nature	Lv. 100	270 - 364	159 - 262	148 - 251	181 - 284	269 - 372	225 - 328
Base Stats - Total: 300	Base Stats - Total: 300	40	80	100	30	30	20
Max StatsHindering Nature	Lv. 100	190 - 284	148 - 233	184 - 269	58 - 143	58 - 143	40 - 125
Max StatsNeutral Nature	Lv. 100	190 - 284	165 - 259	205 - 299	65 - 159	65 - 159	45 - 139
Max StatsBeneficial Nature	Lv. 100	190 - 284	181 - 284	225 - 328	71 - 174	71 - 174	49 - 152
Base Stats - Total: 390	Base Stats - Total: 390	55	95	115	45	45	35
Max StatsHindering Nature	Lv. 100	220 - 314	175 - 260	211 - 296	85 - 170	85 - 170	67 - 152
Max StatsNeutral Nature	Lv. 100	220 - 314	195 - 289	235 - 329	95 - 189	95 - 189	75 - 169
Max StatsBeneficial Nature	Lv. 100	220 - 314	214 - 317	258 - 361	104 - 207	104 - 207	82 - 185
Base Stats - Total: 495	Base Stats - Total: 495	80	120	130	55	65	45
Max StatsHindering Nature	Lv. 100	270 - 364	220 - 305	238 - 323	103 - 188	121 - 206	85 - 170
Max StatsNeutral Nature	Lv. 100	270 - 364	245 - 339	265 - 359	115 - 209	135 - 229	95 - 189
Max StatsBeneficial Nature	Lv. 100	270 - 364	269 - 372	291 - 394	126 - 229	148 - 251	104 - 207
Base Stats - Total: 410	Base Stats - Total: 410	50	85	55	65	65	90
Max StatsHindering Nature	Lv. 100	210 - 304	157 - 242	103 - 188	121 - 206	121 - 206	166 - 251
Max StatsNeutral Nature	Lv. 100	210 - 304	175 - 269	115 - 209	135 - 229	135 - 229	185 - 279
Max StatsBeneficial Nature	Lv. 100	210 - 304	192 - 295	126 - 229	148 - 251	148 - 251	203 - 306
Base Stats - Total: 500	Base Stats - Total: 500	65	100	70	80	80	105
Max StatsHindering Nature	Lv. 100	240 - 334	184 - 269	130 - 215	148 - 233	148 - 233	193 - 278
Max StatsNeutral Nature	Lv. 100	240 - 334	205 - 299	145 - 239	165 - 259	165 - 259	215 - 309
Max StatsBeneficial Nature	Lv. 100	240 - 334	225 - 328	159 - 262	181 - 284	181 - 284	236 - 339
Base Stats - Total: 315	Base Stats - Total: 315	90	65	65	40	40	15
Max StatsHindering Nature	Lv. 100	290 - 384	121 - 206	121 - 206	76 - 161	76 - 161	31 - 116
Max StatsNeutral Nature	Lv. 100	290 - 384	135 - 229	135 - 229	85 - 179	85 - 179	35 - 129
Max StatsBeneficial Nature	Lv. 100	290 - 384	148 - 251	148 - 251	93 - 196	93 - 196	38 - 141
Base Stats - Total: 490	Base Stats - Total: 490	95	75	110	100	80	30
Max StatsHindering Nature	Lv. 100	300 - 394	139 - 224	202 - 287	184 - 269	148 - 233	58 - 143
Max StatsNeutral Nature	Lv. 100	300 - 394	155 - 249	225 - 319	205 - 299	165 - 259	65 - 159
Max StatsBeneficial Nature	Lv. 100	300 - 394	170 - 273	247 - 350	225 - 328	181 - 284	71 - 174
Base Stats - Total: 325	Base Stats - Total: 325	25	35	70	95	55	45
Max StatsHindering Nature	Lv. 100	160 - 254	67 - 152	130 - 215	175 - 260	103 - 188	85 - 170
Max StatsNeutral Nature	Lv. 100	160 - 254	75 - 169	145 - 239	195 - 289	115 - 209	95 - 189
Max StatsBeneficial Nature	Lv. 100	160 - 254	82 - 185	159 - 262	214 - 317	126 - 229	104 - 207
Base Stats - Total: 465	Base Stats - Total: 465	50	60	95	120	70	70
Max StatsHindering Nature	Lv. 100	210 - 304	112 - 197	175 - 260	220 - 305	130 - 215	130 - 215
Max StatsNeutral Nature	Lv. 100	210 - 304	125 - 219	195 - 289	245 - 339	145 - 239	145 - 239
Max StatsBeneficial Nature	Lv. 100	210 - 304	137 - 240	214 - 317	269 - 372	159 - 262	159 - 262
Base Stats - Total: 377	Base Stats - Total: 377	52	90	55	58	62	60
Max StatsHindering Nature	Lv. 100	214 - 308	166 - 251	103 - 188	108 - 193	116 - 200	112 - 197
Max StatsNeutral Nature	Lv. 100	214 - 308	185 - 279	115 - 209	121 - 215	129 - 223	125 - 219
Max StatsBeneficial Nature	Lv. 100	214 - 308	203 - 306	126 - 229	133 - 236	141 - 245	137 - 240
Base Stats - Total: 310	Base Stats - Total: 310	35	85	45	35	35	75
Max StatsHindering Nature	Lv. 100	180 - 274	157 - 242	85 - 170	67 - 152	67 - 152	139 - 224
Max StatsNeutral Nature	Lv. 100	180 - 274	175 - 269	95 - 189	75 - 169	75 - 169	155 - 249
Max StatsBeneficial Nature	Lv. 100	180 - 274	192 - 295	104 - 207	82 - 185	82 - 185	170 - 273
Base Stats - Total: 470	Base Stats - Total: 470	60	110	70	60	60	110
Max StatsHindering Nature	Lv. 100	230 - 324	202 - 287	130 - 215	112 - 197	112 - 197	202 - 287
Max StatsNeutral Nature	Lv. 100	230 - 324	225 - 319	145 - 239	125 - 219	125 - 219	225 - 319
Max StatsBeneficial Nature	Lv. 100	230 - 324	247 - 350	159 - 262	137 - 240	137 - 240	247 - 350
Base Stats - Total: 325	Base Stats - Total: 325	65	45	55	45	70	45
Max StatsHindering Nature	Lv. 100	240 - 334	85 - 170	103 - 188	85 - 170	130 - 215	85 - 170
Max StatsNeutral Nature	Lv. 100	240 - 334	95 - 189	115 - 209	95 - 189	145 - 239	95 - 189
Max StatsBeneficial Nature	Lv. 100	240 - 334	104 - 207	126 - 229	104 - 207	159 - 262	104 - 207
Base Stats - Total: 475	Base Stats - Total: 475	90	70	80	70	95	70
Max StatsHindering Nature	Lv. 100	290 - 384	130 - 215	148 - 233	130 - 215	175 - 260	130 - 215
Max StatsNeutral Nature	Lv. 100	290 - 384	145 - 239	165 - 259	145 - 239	195 - 289	145 - 239
Max StatsBeneficial Nature	Lv. 100	290 - 384	159 - 262	181 - 284	159 - 262	214 - 317	159 - 262
Base Stats - Total: 325	Base Stats - Total: 325	80	80	50	40	50	25
Max StatsHindering Nature	Lv. 100	270 - 364	148 - 233	94 - 179	76 - 161	94 - 179	49 - 134
Max StatsNeutral Nature	Lv. 100	270 - 364	165 - 259	105 - 199	85 - 179	105 - 199	55 - 149
Max StatsBeneficial Nature	Lv. 100	270 - 364	181 - 284	115 - 218	93 - 196	115 - 218	60 - 163
Base Stats - Total: 500	Base Stats - Total: 500	105	105	75	65	100	50
Max StatsHindering Nature	Lv. 100	320 - 414	193 - 278	139 - 224	121 - 206	184 - 269	94 - 179
Max StatsNeutral Nature	Lv. 100	320 - 414	215 - 309	155 - 249	135 - 229	205 - 299	105 - 199
Max StatsBeneficial Nature	Lv. 100	320 - 414	236 - 339	170 - 273	148 - 251	225 - 328	115 - 218
Base Stats - Total: 305	Base Stats - Total: 305	30	65	100	45	25	40
Max StatsHindering Nature	Lv. 100	170 - 264	121 - 206	184 - 269	85 - 170	49 - 134	76 - 161
Max StatsNeutral Nature	Lv. 100	170 - 264	135 - 229	205 - 299	95 - 189	55 - 149	85 - 179
Max StatsBeneficial Nature	Lv. 100	170 - 264	148 - 251	225 - 328	104 - 207	60 - 163	93 - 196
Base Stats - Total: 525	Base Stats - Total: 525	50	95	180	85	45	70
Max StatsHindering Nature	Lv. 100	210 - 304	175 - 260	328 - 413	157 - 242	85 - 170	130 - 215
Max StatsNeutral Nature	Lv. 100	210 - 304	195 - 289	365 - 459	175 - 269	95 - 189	145 - 239
Max StatsBeneficial Nature	Lv. 100	210 - 304	214 - 317	401 - 504	192 - 295	104 - 207	159 - 262
Base Stats - Total: 310	Base Stats - Total: 310	30	35	30	100	35	80
Max StatsHindering Nature	Lv. 100	170 - 264	67 - 152	58 - 143	184 - 269	67 - 152	148 - 233
Max StatsNeutral Nature	Lv. 100	170 - 264	75 - 169	65 - 159	205 - 299	75 - 169	165 - 259
Max StatsBeneficial Nature	Lv. 100	170 - 264	82 - 185	71 - 174	225 - 328	82 - 185	181 - 284
Base Stats - Total: 405	Base Stats - Total: 405	45	50	45	115	55	95
Max StatsHindering Nature	Lv. 100	200 - 294	94 - 179	85 - 170	211 - 296	103 - 188	175 - 260
Max StatsNeutral Nature	Lv. 100	200 - 294	105 - 199	95 - 189	235 - 329	115 - 209	195 - 289
Max StatsBeneficial Nature	Lv. 100	200 - 294	115 - 218	104 - 207	258 - 361	126 - 229	214 - 317
Base Stats - Total: 500	Base Stats - Total: 500	60	65	60	130	75	110
Max StatsHindering Nature	Lv. 100	230 - 324	121 - 206	112 - 197	238 - 323	139 - 224	202 - 287
Max StatsNeutral Nature	Lv. 100	230 - 324	135 - 229	125 - 219	265 - 359	155 - 249	225 - 319
Max StatsBeneficial Nature	Lv. 100	230 - 324	148 - 251	137 - 240	291 - 394	170 - 273	247 - 350
Base Stats - Total: 385	Base Stats - Total: 385	35	45	160	30	45	70
Max StatsHindering Nature	Lv. 100	180 - 274	85 - 170	292 - 377	58 - 143	85 - 170	130 - 215
Max StatsNeutral Nature	Lv. 100	180 - 274	95 - 189	325 - 419	65 - 159	95 - 189	145 - 239
Max StatsBeneficial Nature	Lv. 100	180 - 274	104 - 207	357 - 460	71 - 174	104 - 207	159 - 262
Base Stats - Total: 328	Base Stats - Total: 328	60	48	45	43	90	42
Max StatsHindering Nature	Lv. 100	230 - 324	90 - 175	85 - 170	81 - 166	166 - 251	80 - 164
Max StatsNeutral Nature	Lv. 100	230 - 324	101 - 195	95 - 189	91 - 185	185 - 279	89 - 183
Max StatsBeneficial Nature	Lv. 100	230 - 324	111 - 214	104 - 207	100 - 203	203 - 306	97 - 201
Base Stats - Total: 483	Base Stats - Total: 483	85	73	70	73	115	67
Max StatsHindering Nature	Lv. 100	280 - 374	135 - 220	130 - 215	135 - 220	211 - 296	125 - 209
Max StatsNeutral Nature	Lv. 100	280 - 374	151 - 245	145 - 239	151 - 245	235 - 329	139 - 233
Max StatsBeneficial Nature	Lv. 100	280 - 374	166 - 269	159 - 262	166 - 269	258 - 361	152 - 256
Base Stats - Total: 325	Base Stats - Total: 325	30	105	90	25	25	50
Max StatsHindering Nature	Lv. 100	170 - 264	193 - 278	166 - 251	49 - 134	49 - 134	94 - 179
Max StatsNeutral Nature	Lv. 100	170 - 264	215 - 309	185 - 279	55 - 149	55 - 149	105 - 199
Max StatsBeneficial Nature	Lv. 100	170 - 264	236 - 339	203 - 306	60 - 163	60 - 163	115 - 218
Base Stats - Total: 475	Base Stats - Total: 475	55	130	115	50	50	75
Max StatsHindering Nature	Lv. 100	220 - 314	238 - 323	211 - 296	94 - 179	94 - 179	139 - 224
Max StatsNeutral Nature	Lv. 100	220 - 314	265 - 359	235 - 329	105 - 199	105 - 199	155 - 249
Max StatsBeneficial Nature	Lv. 100	220 - 314	291 - 394	258 - 361	115 - 218	115 - 218	170 - 273
Base Stats - Total: 330	Base Stats - Total: 330	40	30	50	55	55	100
Max StatsHindering Nature	Lv. 100	190 - 284	58 - 143	94 - 179	103 - 188	103 - 188	184 - 269
Max StatsNeutral Nature	Lv. 100	190 - 284	65 - 159	105 - 199	115 - 209	115 - 209	205 - 299
Max StatsBeneficial Nature	Lv. 100	190 - 284	71 - 174	115 - 218	126 - 229	126 - 229	225 - 328
Base Stats - Total: 490	Base Stats - Total: 490	60	50	70	80	80	150
Max StatsHindering Nature	Lv. 100	230 - 324	94 - 179	130 - 215	148 - 233	148 - 233	274 - 359
Max StatsNeutral Nature	Lv. 100	230 - 324	105 - 199	145 - 239	165 - 259	165 - 259	305 - 399
Max StatsBeneficial Nature	Lv. 100	230 - 324	115 - 218	159 - 262	181 - 284	181 - 284	335 - 438
Base Stats - Total: 325	Base Stats - Total: 325	60	40	80	60	45	40
Max StatsHindering Nature	Lv. 100	230 - 324	76 - 161	148 - 233	112 - 197	85 - 170	76 - 161
Max StatsNeutral Nature	Lv. 100	230 - 324	85 - 179	165 - 259	125 - 219	95 - 189	85 - 179
Max StatsBeneficial Nature	Lv. 100	230 - 324	93 - 196	181 - 284	137 - 240	104 - 207	93 - 196
Base Stats - Total: 530	Base Stats - Total: 530	95	95	85	125	75	55
Max StatsHindering Nature	Lv. 100	300 - 394	175 - 260	157 - 242	229 - 314	139 - 224	103 - 188
Max StatsNeutral Nature	Lv. 100	300 - 394	195 - 289	175 - 269	255 - 349	155 - 249	115 - 209
Max StatsBeneficial Nature	Lv. 100	300 - 394	214 - 317	192 - 295	280 - 383	170 - 273	126 - 229
Base Stats - Total: 320	Base Stats - Total: 320	50	50	95	40	50	35
Max StatsHindering Nature	Lv. 100	210 - 304	94 - 179	175 - 260	76 - 161	94 - 179	67 - 152
Max StatsNeutral Nature	Lv. 100	210 - 304	105 - 199	195 - 289	85 - 179	105 - 199	75 - 169
Max StatsBeneficial Nature	Lv. 100	210 - 304	115 - 218	214 - 317	93 - 196	115 - 218	82 - 185
Base Stats - Total: 425	Base Stats - Total: 425	60	80	110	50	80	45
Max StatsHindering Nature	Lv. 100	230 - 324	148 - 233	202 - 287	94 - 179	148 - 233	85 - 170
Max StatsNeutral Nature	Lv. 100	230 - 324	165 - 259	225 - 319	105 - 199	165 - 259	95 - 189
Max StatsBeneficial Nature	Lv. 100	230 - 324	181 - 284	247 - 350	115 - 218	181 - 284	104 - 207
Base Stats - Total: 455	Base Stats - Total: 455	50	120	53	35	110	87
Max StatsHindering Nature	Lv. 100	210 - 304	220 - 305	99 - 184	67 - 152	202 - 287	161 - 245
Max StatsNeutral Nature	Lv. 100	210 - 304	245 - 339	111 - 205	75 - 169	225 - 319	179 - 273
Max StatsBeneficial Nature	Lv. 100	210 - 304	269 - 372	122 - 225	82 - 185	247 - 350	196 - 300
Base Stats - Total: 455	Base Stats - Total: 455	50	105	79	35	110	76
Max StatsHindering Nature	Lv. 100	210 - 304	193 - 278	146 - 231	67 - 152	202 - 287	141 - 225
Max StatsNeutral Nature	Lv. 100	210 - 304	215 - 309	163 - 257	75 - 169	225 - 319	157 - 251
Max StatsBeneficial Nature	Lv. 100	210 - 304	236 - 339	179 - 282	82 - 185	247 - 350	172 - 276
Base Stats - Total: 385	Base Stats - Total: 385	90	55	75	60	75	30
Max StatsHindering Nature	Lv. 100	290 - 384	103 - 188	139 - 224	112 - 197	139 - 224	58 - 143
Max StatsNeutral Nature	Lv. 100	290 - 384	115 - 209	155 - 249	125 - 219	155 - 249	65 - 159
Max StatsBeneficial Nature	Lv. 100	290 - 384	126 - 229	170 - 273	137 - 240	170 - 273	71 - 174
Base Stats - Total: 340	Base Stats - Total: 340	40	65	95	60	45	35
Max StatsHindering Nature	Lv. 100	190 - 284	121 - 206	175 - 260	112 - 197	85 - 170	67 - 152
Max StatsNeutral Nature	Lv. 100	190 - 284	135 - 229	195 - 289	125 - 219	95 - 189	75 - 169
Max StatsBeneficial Nature	Lv. 100	190 - 284	148 - 251	214 - 317	137 - 240	104 - 207	82 - 185
Base Stats - Total: 490	Base Stats - Total: 490	65	90	120	85	70	60
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	220 - 305	157 - 242	130 - 215	112 - 197
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	245 - 339	175 - 269	145 - 239	125 - 219
Max StatsBeneficial Nature	Lv. 100	240 - 334	203 - 306	269 - 372	192 - 295	159 - 262	137 - 240
Base Stats - Total: 345	Base Stats - Total: 345	80	85	95	30	30	25
Max StatsHindering Nature	Lv. 100	270 - 364	157 - 242	175 - 260	58 - 143	58 - 143	49 - 134
Max StatsNeutral Nature	Lv. 100	270 - 364	175 - 269	195 - 289	65 - 159	65 - 159	55 - 149
Max StatsBeneficial Nature	Lv. 100	270 - 364	192 - 295	214 - 317	71 - 174	71 - 174	60 - 163
Base Stats - Total: 485	Base Stats - Total: 485	105	130	120	45	45	40
Max StatsHindering Nature	Lv. 100	320 - 414	238 - 323	220 - 305	85 - 170	85 - 170	76 - 161
Max StatsNeutral Nature	Lv. 100	320 - 414	265 - 359	245 - 339	95 - 189	95 - 189	85 - 179
Max StatsBeneficial Nature	Lv. 100	320 - 414	291 - 394	269 - 372	104 - 207	104 - 207	93 - 196
Base Stats - Total: 450	Base Stats - Total: 450	250	5	5	35	105	50
Max StatsHindering Nature	Lv. 100	610 - 704	13 - 98	13 - 98	67 - 152	193 - 278	94 - 179
Max StatsNeutral Nature	Lv. 100	610 - 704	15 - 109	15 - 109	75 - 169	215 - 309	105 - 199
Max StatsBeneficial Nature	Lv. 100	610 - 704	16 - 119	16 - 119	82 - 185	236 - 339	115 - 218
Base Stats - Total: 435	Base Stats - Total: 435	65	55	115	100	40	60
Max StatsHindering Nature	Lv. 100	240 - 334	103 - 188	211 - 296	184 - 269	76 - 161	112 - 197
Max StatsNeutral Nature	Lv. 100	240 - 334	115 - 209	235 - 329	205 - 299	85 - 179	125 - 219
Max StatsBeneficial Nature	Lv. 100	240 - 334	126 - 229	258 - 361	225 - 328	93 - 196	137 - 240
Base Stats - Total: 490	Base Stats - Total: 490	105	95	80	40	80	90
Max StatsHindering Nature	Lv. 100	320 - 414	175 - 260	148 - 233	76 - 161	148 - 233	166 - 251
Max StatsNeutral Nature	Lv. 100	320 - 414	195 - 289	165 - 259	85 - 179	165 - 259	185 - 279
Max StatsBeneficial Nature	Lv. 100	320 - 414	214 - 317	181 - 284	93 - 196	181 - 284	203 - 306
Base Stats - Total: 295	Base Stats - Total: 295	30	40	70	70	25	60
Max StatsHindering Nature	Lv. 100	170 - 264	76 - 161	130 - 215	130 - 215	49 - 134	112 - 197
Max StatsNeutral Nature	Lv. 100	170 - 264	85 - 179	145 - 239	145 - 239	55 - 149	125 - 219
Max StatsBeneficial Nature	Lv. 100	170 - 264	93 - 196	159 - 262	159 - 262	60 - 163	137 - 240
Base Stats - Total: 440	Base Stats - Total: 440	55	65	95	95	45	85
Max StatsHindering Nature	Lv. 100	220 - 314	121 - 206	175 - 260	175 - 260	85 - 170	157 - 242
Max StatsNeutral Nature	Lv. 100	220 - 314	135 - 229	195 - 289	195 - 289	95 - 189	175 - 269
Max StatsBeneficial Nature	Lv. 100	220 - 314	148 - 251	214 - 317	214 - 317	104 - 207	192 - 295
Base Stats - Total: 320	Base Stats - Total: 320	45	67	60	35	50	63
Max StatsHindering Nature	Lv. 100	200 - 294	125 - 209	112 - 197	67 - 152	94 - 179	117 - 202
Max StatsNeutral Nature	Lv. 100	200 - 294	139 - 233	125 - 219	75 - 169	105 - 199	131 - 225
Max StatsBeneficial Nature	Lv. 100	200 - 294	152 - 256	137 - 240	82 - 185	115 - 218	144 - 247
Base Stats - Total: 450	Base Stats - Total: 450	80	92	65	65	80	68
Max StatsHindering Nature	Lv. 100	270 - 364	170 - 254	121 - 206	121 - 206	148 - 233	126 - 211
Max StatsNeutral Nature	Lv. 100	270 - 364	189 - 283	135 - 229	135 - 229	165 - 259	141 - 235
Max StatsBeneficial Nature	Lv. 100	270 - 364	207 - 311	148 - 251	148 - 251	181 - 284	155 - 258
Base Stats - Total: 340	Base Stats - Total: 340	30	45	55	70	55	85
Max StatsHindering Nature	Lv. 100	170 - 264	85 - 170	103 - 188	130 - 215	103 - 188	157 - 242
Max StatsNeutral Nature	Lv. 100	170 - 264	95 - 189	115 - 209	145 - 239	115 - 209	175 - 269
Max StatsBeneficial Nature	Lv. 100	170 - 264	104 - 207	126 - 229	159 - 262	126 - 229	192 - 295
Base Stats - Total: 520	Base Stats - Total: 520	60	75	85	100	85	115
Max StatsHindering Nature	Lv. 100	230 - 324	139 - 224	157 - 242	184 - 269	157 - 242	211 - 296
Max StatsNeutral Nature	Lv. 100	230 - 324	155 - 249	175 - 269	205 - 299	175 - 269	235 - 329
Max StatsBeneficial Nature	Lv. 100	230 - 324	170 - 273	192 - 295	225 - 328	192 - 295	258 - 361
Base Stats - Total: 460	Base Stats - Total: 460	40	45	65	100	120	90
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	121 - 206	184 - 269	220 - 305	166 - 251
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	135 - 229	205 - 299	245 - 339	185 - 279
Max StatsBeneficial Nature	Lv. 100	190 - 284	104 - 207	148 - 251	225 - 328	269 - 372	203 - 306
Base Stats - Total: 500	Base Stats - Total: 500	70	110	80	55	80	105
Max StatsHindering Nature	Lv. 100	250 - 344	202 - 287	148 - 233	103 - 188	148 - 233	193 - 278
Max StatsNeutral Nature	Lv. 100	250 - 344	225 - 319	165 - 259	115 - 209	165 - 259	215 - 309
Max StatsBeneficial Nature	Lv. 100	250 - 344	247 - 350	181 - 284	126 - 229	181 - 284	236 - 339
Base Stats - Total: 455	Base Stats - Total: 455	65	50	35	115	95	95
Max StatsHindering Nature	Lv. 100	240 - 334	94 - 179	67 - 152	211 - 296	175 - 260	175 - 260
Max StatsNeutral Nature	Lv. 100	240 - 334	105 - 199	75 - 169	235 - 329	195 - 289	195 - 289
Max StatsBeneficial Nature	Lv. 100	240 - 334	115 - 218	82 - 185	258 - 361	214 - 317	214 - 317
Base Stats - Total: 490	Base Stats - Total: 490	65	83	57	95	85	105
Max StatsHindering Nature	Lv. 100	240 - 334	153 - 238	107 - 191	175 - 260	157 - 242	193 - 278
Max StatsNeutral Nature	Lv. 100	240 - 334	171 - 265	119 - 213	195 - 289	175 - 269	215 - 309
Max StatsBeneficial Nature	Lv. 100	240 - 334	188 - 291	130 - 234	214 - 317	192 - 295	236 - 339
Base Stats - Total: 495	Base Stats - Total: 495	65	95	57	100	85	93
Max StatsHindering Nature	Lv. 100	240 - 334	175 - 260	107 - 191	184 - 269	157 - 242	171 - 256
Max StatsNeutral Nature	Lv. 100	240 - 334	195 - 289	119 - 213	205 - 299	175 - 269	191 - 285
Max StatsBeneficial Nature	Lv. 100	240 - 334	214 - 317	130 - 234	225 - 328	192 - 295	210 - 313
Base Stats - Total: 500	Base Stats - Total: 500	65	125	100	55	70	85
Max StatsHindering Nature	Lv. 100	240 - 334	229 - 314	184 - 269	103 - 188	130 - 215	157 - 242
Max StatsNeutral Nature	Lv. 100	240 - 334	255 - 349	205 - 299	115 - 209	145 - 239	175 - 269
Max StatsBeneficial Nature	Lv. 100	240 - 334	280 - 383	225 - 328	126 - 229	159 - 262	192 - 295
Base Stats - Total: 490	Base Stats - Total: 490	75	100	95	40	70	110
Max StatsHindering Nature	Lv. 100	260 - 354	184 - 269	175 - 260	76 - 161	130 - 215	202 - 287
Max StatsNeutral Nature	Lv. 100	260 - 354	205 - 299	195 - 289	85 - 179	145 - 239	225 - 319
Max StatsBeneficial Nature	Lv. 100	260 - 354	225 - 328	214 - 317	93 - 196	159 - 262	247 - 350
Base Stats - Total: 200	Base Stats - Total: 200	20	10	55	15	20	80
Max StatsHindering Nature	Lv. 100	150 - 244	22 - 107	103 - 188	31 - 116	40 - 125	148 - 233
Max StatsNeutral Nature	Lv. 100	150 - 244	25 - 119	115 - 209	35 - 129	45 - 139	165 - 259
Max StatsBeneficial Nature	Lv. 100	150 - 244	27 - 130	126 - 229	38 - 141	49 - 152	181 - 284
Base Stats - Total: 540	Base Stats - Total: 540	95	125	79	60	100	81
Max StatsHindering Nature	Lv. 100	300 - 394	229 - 314	146 - 231	112 - 197	184 - 269	150 - 234
Max StatsNeutral Nature	Lv. 100	300 - 394	255 - 349	163 - 257	125 - 219	205 - 299	167 - 261
Max StatsBeneficial Nature	Lv. 100	300 - 394	280 - 383	179 - 282	137 - 240	225 - 328	183 - 287
Base Stats - Total: 535	Base Stats - Total: 535	130	85	80	85	95	60
Max StatsHindering Nature	Lv. 100	370 - 464	157 - 242	148 - 233	157 - 242	175 - 260	112 - 197
Max StatsNeutral Nature	Lv. 100	370 - 464	175 - 269	165 - 259	175 - 269	195 - 289	125 - 219
Max StatsBeneficial Nature	Lv. 100	370 - 464	192 - 295	181 - 284	192 - 295	214 - 317	137 - 240
